import time: self [us] | cumulative | imported package
import time:       956 |        956 |                       google.cloud.aiplatform_v1.types.job_state
import time:       972 |        972 |                         google.cloud.aiplatform_v1.types.reservation_affinity
import time:      2044 |       3015 |                       google.cloud.aiplatform_v1.types.machine_resources
import time:       580 |        580 |                       google.cloud.aiplatform_v1.types.manual_batch_tuning_parameters
import time:       580 |        580 |                           google.cloud.aiplatform_v1.types.deployed_model_ref
import time:       961 |        961 |                           google.cloud.aiplatform_v1.types.env_var
import time:      5539 |       7079 |                         google.cloud.aiplatform_v1.types.model
import time:       648 |       7726 |                       google.cloud.aiplatform_v1.types.unmanaged_container_model
import time:      2550 |      28316 |                     google.cloud.aiplatform_v1.types.batch_prediction_job
import time:      1637 |       1637 |                         google.cloud.aiplatform_v1.types.openapi
import time:       234 |        234 |                             google.type
import time:       555 |        788 |                           google.type.latlng_pb2
import time:      7519 |       8306 |                         google.cloud.aiplatform_v1.types.tool
import time:      5509 |       5509 |                         google.cloud.aiplatform_v1.types.vertex_rag_data
import time:       466 |        466 |                         google.type.date_pb2
import time:     13010 |      28927 |                       google.cloud.aiplatform_v1.types.content
import time:      1184 |      30111 |                     google.cloud.aiplatform_v1.types.cached_content
import time:      1012 |       1012 |                     google.cloud.aiplatform_v1.types.context
import time:      1418 |       1418 |                       google.cloud.aiplatform_v1.types.service_networking
import time:      2854 |       4272 |                     google.cloud.aiplatform_v1.types.custom_job
import time:      1650 |       1650 |                     google.cloud.aiplatform_v1.types.data_foundry_service
import time:       794 |        794 |                     google.cloud.aiplatform_v1.types.data_item
import time:       347 |        347 |                       google.type.money_pb2
import time:      3522 |       3868 |                     google.cloud.aiplatform_v1.types.data_labeling_job
import time:       789 |        789 |                       google.cloud.aiplatform_v1.types.saved_query
import time:      2436 |       3224 |                     google.cloud.aiplatform_v1.types.dataset
import time:       624 |        624 |                       google.cloud.aiplatform_v1.types.dataset_version
import time:       766 |        766 |                       google.cloud.aiplatform_v1.types.operation
import time:      6165 |       7554 |                     google.cloud.aiplatform_v1.types.dataset_service
import time:       651 |        651 |                     google.cloud.aiplatform_v1.types.deployed_index_ref
import time:       640 |        640 |                     google.cloud.aiplatform_v1.types.deployment_resource_pool
import time:      3056 |       3056 |                       google.cloud.aiplatform_v1.types.endpoint
import time:      1925 |       4981 |                     google.cloud.aiplatform_v1.types.deployment_resource_pool_service
import time:       976 |        976 |                     google.cloud.aiplatform_v1.types.deployment_stage
import time:      3476 |       3476 |                     google.cloud.aiplatform_v1.types.endpoint_service
import time:      1815 |       1815 |                       google.cloud.aiplatform_v1.types.featurestore_monitoring
